tick,population,resources,empty,mean_energy,max_energy,mean_size,max_size,mean_age,max_age,births,deaths_energy,deaths_age,interactions,resources_consumed,novel_placements,unique_structures,max_generation
100,900,0,0,3447.19,62960.62,14.87,500,98.03,100,0,0,0,900,0,0,0,4
200,900,0,0,7026.67,134081.02,14.38,500,197.46,200,0,0,0,900,0,0,0,4
300,900,0,0,10605.59,199404.43,14.38,500,297.46,300,0,0,0,900,0,0,0,4
400,900,0,0,14189.86,265885.53,14.38,500,397.46,400,0,0,0,900,0,0,0,4
500,900,0,0,17787.38,335173.03,14.38,500,497.19,500,0,0,0,900,0,0,0,4
600,900,0,0,21351.22,405455.53,14.38,500,597.00,600,0,0,0,900,0,0,0,4
700,900,0,0,24918.86,472154.73,14.39,500,696.27,700,0,0,0,900,0,0,0,4
800,900,0,0,28482.97,539559.33,14.39,500,796.03,800,0,0,0,900,0,0,0,4
900,900,0,0,31994.68,602402.13,14.39,500,896.00,900,0,0,0,900,0,0,0,4
1000,900,0,0,35615.32,676040.82,14.39,500,994.91,1000,0,0,0,900,0,0,245,4
